,id,title,link,availableOnline,orderable,propertyIcons,images,itemCatalogId,brand,category,theme,hqId,gtins,summary,descriptionFull,taxonomyId,taxonomies,contributionMargin,control.theme,control.type,price.now,price.unitSize,properties.lifestyle,price.unitInfo.price,price.unitInfo.description,shield.text,shield.theme,price.theme,discount.bonusType,discount.segmentType,discount.theme,discount.startDate,discount.endDate,discount.tieredOffer,price.was,discount.subtitle
0,54074,AH Komkommer,/producten/product/wi54074/ah-komkommer,True,True,"[{'name': 'prijsfavoriet', 'title': 'Prijsfavoriet'}, {'name': 'lokaal', 'title': 'Uit Nederland'}]","[{'height': 200, 'width': 200, 'title': 'AH Komkommer', 'url': 'https://static.ah.nl/image-optimization/static/product/AHI_434d50313535333334_2_200x200_JPG.JPG?options=399,q85', 'ratio': '1-1'}, {'height': 708, 'width': 708, 'title': 'AH Komkommer', 'url': 'https://static.ah.nl/image-optimization/static/product/AHI_434d50313535333334_2_LowRes_JPG.JPG?options=399,q85', 'ratio': '1-1'}]",11023,AH,"Aardappel, groente, fruit/Komkommer (vers)",ah,508672,"[8710400200833, 8429259005505, 8429259005000, 9076683139086, 2262070000009, 8437001582402, 8710766991307, 8437001582358, 8429259004003, 8429259003501, 8710400200819, 8710400302032, 8710766991314]",,,1259,"[{'id': 6401, 'name': 'Aardappel, groente, fruit', 'imageSiteTarget': 'app_cat_agf', 'images': [{'height': 400, 'width': 600, 'url': 'https://static.ahold.com//cmgtcontent/media//002304400/000/002304468_002_aardappelen-groente-fruit.png'}], 'shown': True, 'level': 1, 'sortSequence': 1, 'parentIds': [0]}, {'id': 1125, 'name': 'Groente', 'imageSiteTarget': 'app_cat_groente_wortels_prei_broccoli', 'images': [{'height': 133, 'width': 200, 'url': 'https://static.ahold.com//cmgtcontent/media//000752000/000/000752030_001_app_cat_groente_wortels_prei_broccoli.jpg'}], 'shown': True, 'level': 2, 'sortSequence': 1, 'parentIds': [6401]}, {'id': 5897, 'name': 'Komkommer, avocado', 'imageSiteTarget': 'app_cat_groente_paprika', 'images': [{'height': 133, 'width': 200, 'url': 'https://static.ahold.com//cmgtcontent/media//001444800/000/001444810_001_app_cat_groente_paprika.jpg'}], 'shown': True, 'level': 3, 'sortSequence': 2, 'parentIds': [1125]}, {'id': 4979, 'name': 'Komkommer', 'images': [], 'shown': True, 'level': 3, 'sortSequence': 1, 'parentIds': [5897, 8380]}, {'id': 1259, 'name': 'Komkommer (vers)', 'images': [], 'shown': True, 'level': 3, 'sortSequence': 1, 'parentIds': [4979, 5281]}]",21.0,ah,default,0.85,per stuk,"['zonder_melk', 'zonder_kreeftachtigen', 'zonder_soja', 'zonder_vis', 'zonder_lupine', 'zonder_pindas', 'zonder_mosterd', 'zonder_lactose', 'zonder_sulfiet', 'zonder_sesam', 'zonder_schelpdieren', 'zonder_eieren', 'zonder_noten', 'zonder_selderij', 'zonder_gluten']",,,,,,,,,,,,,
1,197393,AH Bananen,/producten/product/wi197393/ah-bananen,True,True,"[{'name': 'prijsfavoriet', 'title': 'Prijsfavoriet'}]","[{'height': 200, 'width': 200, 'title': 'AH Bananen', 'url': 'https://static.ah.nl/image-optimization/static/product/AHI_43545239383031373834_1_200x200_JPG.JPG?options=399,q85', 'ratio': '1-1'}, {'height': 708, 'width': 708, 'title': 'AH Bananen', 'url': 'https://static.ah.nl/image-optimization/static/product/AHI_43545239383031373834_1_LowRes_JPG.JPG?options=399,q85', 'ratio': '1-1'}]",25905,AH,"Aardappel, groente, fruit/Bananen",ah,767854,[8718265184886],,,4941,"[{'id': 6401, 'name': 'Aardappel, groente, fruit', 'imageSiteTarget': 'app_cat_agf', 'images': [{'height': 400, 'width': 600, 'url': 'https://static.ahold.com//cmgtcontent/media//002304400/000/002304468_002_aardappelen-groente-fruit.png'}], 'shown': True, 'level': 1, 'sortSequence': 1, 'parentIds': [0]}, {'id': 1085, 'name': 'Fruit', 'imageSiteTarget': 'app_cat_fruit', 'images': [{'height': 133, 'width': 200, 'url': 'https://static.ahold.com//cmgtcontent/media//000749000/000/000749062_001_app_cat_fruit.jpg'}], 'shown': True, 'level': 2, 'sortSequence': 2, 'parentIds': [6401]}, {'id': 4941, 'name': 'Bananen', 'imageSiteTarget': 'app_cat_bananen', 'images': [{'height': 133, 'width': 200, 'url': 'https://static.ahold.com//cmgtcontent/media//000749000/000/000749002_001_app_cat_bananen.jpg'}], 'shown': True, 'level': 3, 'sortSequence': 2, 'parentIds': [1085]}]",18.0,ah,default,1.29,Tros,"['zonder_melk', 'zonder_kreeftachtigen', 'zonder_soja', 'zonder_vis', 'zonder_lupine', 'zonder_pindas', 'zonder_mosterd', 'zonder_lactose', 'zonder_sulfiet', 'zonder_sesam', 'dieet_laag_vet', 'dieet_laag_zout', 'zonder_schelpdieren', 'zonder_eieren', 'zonder_noten', 'zonder_selderij', 'zonder_gluten']",,,,,,,,,,,,,
2,4117,AH Rode paprika,/producten/product/wi4117/ah-rode-paprika,True,True,"[{'name': 'prijsfavoriet', 'title': 'Prijsfavoriet'}, {'name': 'lokaal', 'title': 'Uit Nederland'}]","[{'height': 200, 'width': 200, 'title': 'AH Rode paprika', 'url': 'https://static.ah.nl/image-optimization/static/product/AHI_434d50303133303732_3_200x200_JPG.JPG?options=399,q85', 'ratio': '1-1'}, {'height': 708, 'width': 708, 'title': 'AH Rode paprika', 'url': 'https://static.ah.nl/image-optimization/static/product/AHI_434d50303133303732_3_LowRes_JPG.JPG?options=399,q85', 'ratio': '1-1'}]",11101,AH,"Aardappel, groente, fruit/Rode paprika",ah,646784,"[8718265163652, 8718265948518, 2262080000006]",,,1459,"[{'id': 6401, 'name': 'Aardappel, groente, fruit', 'imageSiteTarget': 'app_cat_agf', 'images': [{'height': 400, 'width': 600, 'url': 'https://static.ahold.com//cmgtcontent/media//002304400/000/002304468_002_aardappelen-groente-fruit.png'}], 'shown': True, 'level': 1, 'sortSequence': 1, 'parentIds': [0]}, {'id': 1125, 'name': 'Groente', 'imageSiteTarget': 'app_cat_groente_wortels_prei_broccoli', 'images': [{'height': 133, 'width': 200, 'url': 'https://static.ahold.com//cmgtcontent/media//000752000/000/000752030_001_app_cat_groente_wortels_prei_broccoli.jpg'}], 'shown': True, 'level': 2, 'sortSequence': 1, 'parentIds': [6401]}, {'id': 1763, 'name': 'Tomaat, paprika, mais', 'imageSiteTarget': 'app_cat_groente_tomaten', 'images': [{'height': 133, 'width': 200, 'url': 'https://static.ahold.com//cmgtcontent/media//001444800/000/001444808_001_app_cat_groente_tomaten.jpg'}], 'shown': True, 'level': 3, 'sortSequence': 3, 'parentIds': [1125]}, {'id': 1397, 'name': 'Paprika', 'images': [], 'shown': True, 'level': 3, 'sortSequence': 2, 'parentIds': [1763, 5675, 8380]}, {'id': 1459, 'name': 'Rode paprika', 'images': [], 'shown': True, 'level': 4, 'sortSequence': 1, 'parentIds': [1397]}]",34.0,ah,default,0.95,per stuk,"['zonder_melk', 'zonder_kreeftachtigen', 'zonder_soja', 'zonder_vis', 'zonder_lupine', 'zonder_pindas', 'zonder_mosterd', 'zonder_lactose', 'zonder_sulfiet', 'zonder_sesam', 'zonder_schelpdieren', 'zonder_eieren', 'zonder_noten', 'zonder_selderij', 'zonder_gluten']",,,,,,,,,,,,,
3,94782,AH Mandarijnen,/producten/product/wi94782/ah-mandarijnen,True,True,[],"[{'height': 200, 'width': 200, 'title': 'AH Mandarijnen', 'url': 'https://static.ah.nl/image-optimization/static/product/AHI_43545236323531393738_3_200x200_JPG.JPG?options=399,q85', 'ratio': '1-1'}, {'height': 708, 'width': 708, 'title': 'AH Mandarijnen', 'url': 'https://static.ah.nl/image-optimization/static/product/AHI_43545236323531393738_3_LowRes_JPG.JPG?options=399,q85', 'ratio': '1-1'}]",26392,AH,"Aardappel, groente, fruit/Verse mandarijnen",ah,548401,"[8710400261803, 8710400262213]",,,1312,"[{'id': 6401, 'name': 'Aardappel, groente, fruit', 'imageSiteTarget': 'app_cat_agf', 'images': [{'height': 400, 'width': 600, 'url': 'https://static.ahold.com//cmgtcontent/media//002304400/000/002304468_002_aardappelen-groente-fruit.png'}], 'shown': True, 'level': 1, 'sortSequence': 1, 'parentIds': [0]}, {'id': 1085, 'name': 'Fruit', 'imageSiteTarget': 'app_cat_fruit', 'images': [{'height': 133, 'width': 200, 'url': 'https://static.ahold.com//cmgtcontent/media//000749000/000/000749062_001_app_cat_fruit.jpg'}], 'shown': True, 'level': 2, 'sortSequence': 2, 'parentIds': [6401]}, {'id': 1005, 'name': 'Sinaasappels, mandarijnen', 'imageSiteTarget': 'app_cat_sinaasappels_citrusfruit', 'images': [{'height': 133, 'width': 200, 'url': 'https://static.ahold.com//cmgtcontent/media//000749200/000/000749228_001_app_cat_sinaasappels_citrusfruit.jpg'}], 'shown': True, 'level': 3, 'sortSequence': 3, 'parentIds': [1085]}, {'id': 2567, 'name': 'Mandarijnen', 'images': [], 'shown': True, 'level': 4, 'sortSequence': 1, 'parentIds': [1005]}, {'id': 1312, 'name': 'Verse mandarijnen', 'images': [], 'shown': True, 'level': 3, 'sortSequence': 1, 'parentIds': [2567, 6200, 5285]}]",14.0,ah,default,2.19,1 kg,"['zonder_melk', 'zonder_kreeftachtigen', 'zonder_soja', 'zonder_vis', 'zonder_lupine', 'zonder_pindas', 'zonder_mosterd', 'zonder_lactose', 'zonder_sulfiet', 'zonder_sesam', 'dieet_laag_vet', 'dieet_laag_zout', 'zonder_schelpdieren', 'zonder_eieren', 'zonder_noten', 'zonder_selderij', 'zonder_gluten']",2.19,KG,,,,,,,,,,,
4,4164,AH Courgette,/producten/product/wi4164/ah-courgette,True,True,"[{'name': 'prijsfavoriet', 'title': 'Prijsfavoriet'}]","[{'height': 200, 'width': 200, 'title': 'AH Courgette', 'url': 'https://static.ah.nl/image-optimization/static/product/AHI_434d50303135383737_3_200x200_JPG.JPG?options=399,q85', 'ratio': '1-1'}, {'height': 708, 'width': 708, 'title': 'AH Courgette', 'url': 'https://static.ah.nl/image-optimization/static/product/AHI_434d50303135383737_3_LowRes_JPG.JPG?options=399,q85', 'ratio': '1-1'}]",11019,AH,"Aardappel, groente, fruit/Courgette (vers)",ah,21003,"[8722800072026, 2262750000008, 8722800079988, 8713702093202]",,,1013,"[{'id': 6401, 'name': 'Aardappel, groente, fruit', 'imageSiteTarget': 'app_cat_agf', 'images': [{'height': 400, 'width': 600, 'url': 'https://static.ahold.com//cmgtcontent/media//002304400/000/002304468_002_aardappelen-groente-fruit.png'}], 'shown': True, 'level': 1, 'sortSequence': 1, 'parentIds': [0]}, {'id': 1125, 'name': 'Groente', 'imageSiteTarget': 'app_cat_groente_wortels_prei_broccoli', 'images': [{'height': 133, 'width': 200, 'url': 'https://static.ahold.com//cmgtcontent/media//000752000/000/000752030_001_app_cat_groente_wortels_prei_broccoli.jpg'}], 'shown': True, 'level': 2, 'sortSequence': 1, 'parentIds': [6401]}, {'id': 1768, 'name': 'Aubergine, courgette, pompoen', 'imageSiteTarget': 'app_cat_groente_aubergine', 'images': [{'height': 133, 'width': 200, 'url': 'https://static.ahold.com//cmgtcontent/media//001444800/000/001444828_001_app_cat_groente_aubergine.jpg'}], 'shown': True, 'level': 3, 'sortSequence': 10, 'parentIds': [1125]}, {'id': 5214, 'name': 'Courgette', 'images': [], 'shown': True, 'level': 4, 'sortSequence': 2, 'parentIds': [1768]}, {'id': 1013, 'name': 'Courgette (vers)', 'images': [], 'shown': True, 'level': 3, 'sortSequence': 1, 'parentIds': [5214, 5281, 8380]}]",26.0,ah,default,0.75,per stuk,"['zonder_melk', 'zonder_kreeftachtigen', 'zonder_soja', 'zonder_vis', 'zonder_lupine', 'zonder_pindas', 'zonder_mosterd', 'zonder_lactose', 'zonder_sulfiet', 'zonder_sesam', 'zonder_schelpdieren', 'zonder_eieren', 'zonder_noten', 'zonder_selderij', 'zonder_gluten']",,,,,,,,,,,,,
5,4177,AH Broccoli,/producten/product/wi4177/ah-broccoli,True,True,"[{'name': 'prijsfavoriet', 'title': 'Prijsfavoriet'}]","[{'height': 200, 'width': 200, 'title': 'AH Broccoli', 'url': 'https://static.ah.nl/image-optimization/static/product/AHI_43545237303333353032_1_200x200_JPG.JPG?options=399,q85', 'ratio': '1-1'}, {'height': 708, 'width': 708, 'title': 'AH Broccoli', 'url': 'https://static.ah.nl/image-optimization/static/product/AHI_43545237303333353032_1_LowRes_JPG.JPG?options=399,q85', 'ratio': '1-1'}]",11012,AH,"Aardappel, groente, fruit/Broccoli (vers)",ah,582666,"[8722800890675, 8427660000034, 8710400125617, 8722800079834, 8722800081639, 4327475105822, 8710766991147, 5400357031002, 23061149]",,,959,"[{'id': 6401, 'name': 'Aardappel, groente, fruit', 'imageSiteTarget': 'app_cat_agf', 'images': [{'height': 400, 'width': 600, 'url': 'https://static.ahold.com//cmgtcontent/media//002304400/000/002304468_002_aardappelen-groente-fruit.png'}], 'shown': True, 'level': 1, 'sortSequence': 1, 'parentIds': [0]}, {'id': 1125, 'name': 'Groente', 'imageSiteTarget': 'app_cat_groente_wortels_prei_broccoli', 'images': [{'height': 133, 'width': 200, 'url': 'https://static.ahold.com//cmgtcontent/media//000752000/000/000752030_001_app_cat_groente_wortels_prei_broccoli.jpg'}], 'shown': True, 'level': 2, 'sortSequence': 1, 'parentIds': [6401]}, {'id': 5898, 'name': 'Broccoli, spruiten, paksoi', 'imageSiteTarget': 'app_cat_groente_bloemkool', 'images': [{'height': 133, 'width': 200, 'url': 'https://static.ahold.com//cmgtcontent/media//001444800/000/001444812_001_app_cat_groente_bloemkool.jpg'}], 'shown': True, 'level': 3, 'sortSequence': 4, 'parentIds': [1125]}, {'id': 5195, 'name': 'Broccoli', 'images': [], 'shown': True, 'level': 4, 'sortSequence': 1, 'parentIds': [5898]}, {'id': 959, 'name': 'Broccoli (vers)', 'images': [], 'shown': True, 'level': 3, 'sortSequence': 1, 'parentIds': [5195, 5281, 5675]}]",,ah,default,1.09,500 g,"['zonder_melk', 'zonder_kreeftachtigen', 'zonder_soja', 'zonder_vis', 'zonder_lupine', 'zonder_pindas', 'zonder_mosterd', 'zonder_lactose', 'zonder_sulfiet', 'zonder_sesam', 'zonder_schelpdieren', 'zonder_eieren', 'zonder_noten', 'zonder_selderij', 'zonder_gluten']",2.18,KG,,,,,,,,,,,
6,80585,AH Pitloze witte druiven,/producten/product/wi80585/ah-pitloze-witte-druiven,True,True,[],"[{'height': 200, 'width': 200, 'title': 'AH Pitloze witte druiven', 'url': 'https://static.ah.nl/image-optimization/static/product/AHI_43545236323334373438_7_200x200_JPG.JPG?options=399,q85', 'ratio': '1-1'}, {'height': 708, 'width': 708, 'title': 'AH Pitloze witte druiven', 'url': 'https://static.ah.nl/image-optimization/static/product/AHI_43545236323334373438_7_LowRes_JPG.JPG?options=399,q85', 'ratio': '1-1'}]",10441,AH,"Aardappel, groente, fruit/Verse witte druiven",ah,521838,"[8710400187851, 8014168857989, 4000007071092, 8906007950015, 8710400210450, 4000007037487, 5202666000058, 8009735240042, 8032732445264, 8710400313625, 5400112336908, 4045113001755, 4045113001618, 5425003612015, 6006258000766, 6006258000940, 6223002682560, 6223000252390, 6223001950318, 6223001950493, 6224000487805, 8425828100008, 8717249241201, 7318693555701, 6009631260009, 5201224410506, 5203281000027, 6009653470011, 8710400177593, 8713702058003, 8713702093943, 6009653470035, 6006258000568, 8710400187813, 8710400210405, 6006258000926, 6006258000582, 4000007019223, 6223000990056, 8710400251538]",,,5123,"[{'id': 6401, 'name': 'Aardappel, groente, fruit', 'imageSiteTarget': 'app_cat_agf', 'images': [{'height': 400, 'width': 600, 'url': 'https://static.ahold.com//cmgtcontent/media//002304400/000/002304468_002_aardappelen-groente-fruit.png'}], 'shown': True, 'level': 1, 'sortSequence': 1, 'parentIds': [0]}, {'id': 1085, 'name': 'Fruit', 'imageSiteTarget': 'app_cat_fruit', 'images': [{'height': 133, 'width': 200, 'url': 'https://static.ahold.com//cmgtcontent/media//000749000/000/000749062_001_app_cat_fruit.jpg'}], 'shown': True, 'level': 2, 'sortSequence': 2, 'parentIds': [6401]}, {'id': 7093, 'name': 'Druiven, kersen', 'images': [], 'shown': True, 'level': 3, 'sortSequence': 7, 'parentIds': [1085]}, {'id': 4962, 'name': 'Druiven', 'imageSiteTarget': 'app_cat_druiven', 'images': [{'height': 133, 'width': 200, 'url': 'https://static.ahold.com//cmgtcontent/media//000749000/000/000749042_001_app_cat_druiven.jpg'}], 'shown': True, 'level': 4, 'sortSequence': 1, 'parentIds': [7093]}, {'id': 5123, 'name': 'Verse witte druiven', 'images': [], 'shown': True, 'level': 3, 'sortSequence': 3, 'parentIds': [4962, 5674]}]",30.0,ah,default,2.29,500 g,"['zonder_melk', 'zonder_kreeftachtigen', 'zonder_soja', 'zonder_vis', 'zonder_lupine', 'zonder_pindas', 'zonder_mosterd', 'zonder_lactose', 'zonder_sulfiet', 'zonder_sesam', 'dieet_laag_vet', 'dieet_laag_zout', 'zonder_schelpdieren', 'zonder_eieren', 'zonder_noten', 'zonder_selderij', 'zonder_gluten']",4.58,KG,,,,,,,,,,,
7,495314,Chiquita Family pack,/producten/product/wi495314/chiquita-family-pack,True,True,[],"[{'height': 200, 'width': 200, 'title': 'Chiquita Family pack', 'url': 'https://static.ah.nl/image-optimization/static/product/AHI_43545239373337393037_2_200x200_JPG.JPG?options=399,q85', 'ratio': '1-1'}, {'height': 708, 'width': 708, 'title': 'Chiquita Family pack', 'url': 'https://static.ah.nl/image-optimization/static/product/AHI_43545239373337393037_2_LowRes_JPG.JPG?options=399,q85', 'ratio': '1-1'}]",577675,Chiquita,"Aardappel, groente, fruit/Bananen",ah,768125,[5425003611490],,,4941,"[{'id': 6401, 'name': 'Aardappel, groente, fruit', 'imageSiteTarget': 'app_cat_agf', 'images': [{'height': 400, 'width': 600, 'url': 'https://static.ahold.com//cmgtcontent/media//002304400/000/002304468_002_aardappelen-groente-fruit.png'}], 'shown': True, 'level': 1, 'sortSequence': 1, 'parentIds': [0]}, {'id': 1085, 'name': 'Fruit', 'imageSiteTarget': 'app_cat_fruit', 'images': [{'height': 133, 'width': 200, 'url': 'https://static.ahold.com//cmgtcontent/media//000749000/000/000749062_001_app_cat_fruit.jpg'}], 'shown': True, 'level': 2, 'sortSequence': 2, 'parentIds': [6401]}, {'id': 4941, 'name': 'Bananen', 'imageSiteTarget': 'app_cat_bananen', 'images': [{'height': 133, 'width': 200, 'url': 'https://static.ahold.com//cmgtcontent/media//000749000/000/000749002_001_app_cat_bananen.jpg'}], 'shown': True, 'level': 3, 'sortSequence': 2, 'parentIds': [1085]}]",,ah,default,1.99,1 kg,"['zonder_melk', 'zonder_kreeftachtigen', 'zonder_soja', 'zonder_vis', 'zonder_lupine', 'zonder_pindas', 'zonder_mosterd', 'zonder_lactose', 'zonder_sulfiet', 'zonder_sesam', 'zonder_schelpdieren', 'zonder_eieren', 'zonder_noten', 'zonder_selderij', 'zonder_gluten']",1.99,KG,Nieuw,nieuw,,,,,,,,,
8,100232,AH Pitloze rode druiven,/producten/product/wi100232/ah-pitloze-rode-druiven,True,True,[],"[{'height': 200, 'width': 200, 'title': 'AH Pitloze rode druiven', 'url': 'https://static.ah.nl/image-optimization/static/product/AHI_43545239373034313739_1_200x200_JPG.JPG?options=399,q85', 'ratio': '1-1'}, {'height': 708, 'width': 708, 'title': 'AH Pitloze rode druiven', 'url': 'https://static.ah.nl/image-optimization/static/product/AHI_43545239373034313739_1_LowRes_JPG.JPG?options=399,q85', 'ratio': '1-1'}]",31634,AH,"Aardappel, groente, fruit/Verse rode druiven",ah,542683,"[8710400241645, 8028832001110, 6006258000995, 8713702080004, 8713702094353, 8710400269236, 5425003612060, 8710400278764, 4045113001625, 8722800891993, 8713702094063, 8710400253310, 8710400251514, 6009631260108, 6006258000780, 6006258000742]",,,1046,"[{'id': 6401, 'name': 'Aardappel, groente, fruit', 'imageSiteTarget': 'app_cat_agf', 'images': [{'height': 400, 'width': 600, 'url': 'https://static.ahold.com//cmgtcontent/media//002304400/000/002304468_002_aardappelen-groente-fruit.png'}], 'shown': True, 'level': 1, 'sortSequence': 1, 'parentIds': [0]}, {'id': 1085, 'name': 'Fruit', 'imageSiteTarget': 'app_cat_fruit', 'images': [{'height': 133, 'width': 200, 'url': 'https://static.ahold.com//cmgtcontent/media//000749000/000/000749062_001_app_cat_fruit.jpg'}], 'shown': True, 'level': 2, 'sortSequence': 2, 'parentIds': [6401]}, {'id': 7093, 'name': 'Druiven, kersen', 'images': [], 'shown': True, 'level': 3, 'sortSequence': 7, 'parentIds': [1085]}, {'id': 4962, 'name': 'Druiven', 'imageSiteTarget': 'app_cat_druiven', 'images': [{'height': 133, 'width': 200, 'url': 'https://static.ahold.com//cmgtcontent/media//000749000/000/000749042_001_app_cat_druiven.jpg'}], 'shown': True, 'level': 4, 'sortSequence': 1, 'parentIds': [7093]}, {'id': 1046, 'name': 'Verse rode druiven', 'images': [], 'shown': True, 'level': 3, 'sortSequence': 1, 'parentIds': [4962, 5285]}]",23.0,ah,default,2.29,500 g,"['zonder_melk', 'zonder_kreeftachtigen', 'zonder_soja', 'zonder_vis', 'zonder_lupine', 'zonder_pindas', 'zonder_mosterd', 'zonder_lactose', 'zonder_sulfiet', 'zonder_sesam', 'dieet_laag_vet', 'dieet_laag_zout', 'zonder_schelpdieren', 'zonder_eieren', 'zonder_noten', 'zonder_selderij', 'zonder_gluten']",4.58,KG,,,,,,,,,,,
9,491168,AH Nederlandse aardbeien,/producten/product/wi491168/ah-nederlandse-aardbeien,True,True,[],"[{'height': 200, 'width': 200, 'title': 'AH Nederlandse aardbeien', 'url': 'https://static.ah.nl/image-optimization/static/product/AHI_43545239363938313830_1_200x200_JPG.JPG?options=399,q85', 'ratio': '1-1'}, {'height': 708, 'width': 708, 'title': 'AH Nederlandse aardbeien', 'url': 'https://static.ah.nl/image-optimization/static/product/AHI_43545239363938313830_1_LowRes_JPG.JPG?options=399,q85', 'ratio': '1-1'}]",573982,AH,"Aardappel, groente, fruit/Aardbeien (vers)",ah,745534,[8718907382069],,,864,"[{'id': 6401, 'name': 'Aardappel, groente, fruit', 'imageSiteTarget': 'app_cat_agf', 'images': [{'height': 400, 'width': 600, 'url': 'https://static.ahold.com//cmgtcontent/media//002304400/000/002304468_002_aardappelen-groente-fruit.png'}], 'shown': True, 'level': 1, 'sortSequence': 1, 'parentIds': [0]}, {'id': 1085, 'name': 'Fruit', 'imageSiteTarget': 'app_cat_fruit', 'images': [{'height': 133, 'width': 200, 'url': 'https://static.ahold.com//cmgtcontent/media//000749000/000/000749062_001_app_cat_fruit.jpg'}], 'shown': True, 'level': 2, 'sortSequence': 2, 'parentIds': [6401]}, {'id': 1717, 'name': 'Aardbeien, frambozen', 'imageSiteTarget': 'app_cat_bosvruchten_aardbeien', 'images': [{'height': 133, 'width': 200, 'url': 'https://static.ahold.com//cmgtcontent/media//000752000/000/000752020_001_app_cat_bosvruchten_aardbeien.jpg'}], 'shown': True, 'level': 3, 'sortSequence': 6, 'parentIds': [1085]}, {'id': 2551, 'name': 'Aardbeien', 'images': [], 'shown': True, 'level': 4, 'sortSequence': 1, 'parentIds': [1717]}, {'id': 864, 'name': 'Aardbeien (vers)', 'images': [], 'shown': True, 'level': 3, 'sortSequence': 1, 'parentIds': [2551, 8381, 5674]}]",17.0,ah,default,4.49,400 g,"['zonder_melk', 'zonder_kreeftachtigen', 'zonder_soja', 'zonder_vis', 'zonder_lupine', 'zonder_pindas', 'zonder_mosterd', 'zonder_lactose', 'zonder_sulfiet', 'zonder_sesam', 'dieet_laag_vet', 'dieet_laag_zout', 'zonder_schelpdieren', 'zonder_eieren', 'zonder_noten', 'zonder_selderij', 'zonder_gluten']",11.23,KG,,,,,,,,,,,
